Position,Unbalance factor (higher numbers favor White more)
BBNRKQNR,0.00
BBNRNQKR,0.00
BBRNNKQR,0.00
BBRNNQKR,0.00
BBRNQKNR,0.00
BBRQKNNR,0.00
BNRBNKQR,0.00
BQRNNKRB,0.00
BRKNRQNB,0.00
BRNBKNQR,0.00
NBBNRQKR,0.00
NNBBRKRQ,0.00
NQBBRNKR,0.00
QBBNRKRN,0.00
QBRNKRBN,0.00
QNRKNBBR,0.00
QRBBNNKR,0.00
QRKRBBNN,0.00
RKBBNQNR,0.00
RKBNNRQB,0.00
RKBNQRNB,0.00
RKBQNNRB,0.00
RKBRQBNN,0.00
RKNBBRQN,0.00
RKQRNBBN,0.00
RNBBQKNR,0.00
RQKNRBBN,0.00
RKNNBBRQ,0.01
RNBKNRQB,0.01
BBQNRKNR,0.02
BRKBRNQN,0.02
NQBRKNRB,0.02
QRBNNBKR,0.02
RKBBQNNR,0.02
RNNKQRBB,0.02
BRNKRQNB,0.03
QRNBBNKR,0.03
RNKBNRBQ,0.03
RNKRNQBB,0.03
RQBNNBKR,0.03
BQRNNBKR,0.04
BRKNNQRB,0.04
BRQBNKNR,0.04
BRQNNKRB,0.04
NNBBQRKR,0.04
QRBKNBRN,0.04
QRNNBBKR,0.04
RKNRBBQN,0.04
RKRBBQNN,0.04
RNNQBBKR,0.04
RQKBBRNN,0.04
BBNQRKNR,0.05
BBRKQNRN,0.05
BBRQNKRN,0.05
BQRBNNKR,0.05
BRKBNQNR,0.05
BRKRQNNB,0.05
BRQKNBRN,0.05
NBBRKRQN,0.05
NBRNKQBR,0.05
NNQBBRKR,0.05
NQNRBBKR,0.05
NRBQNKRB,0.05
NRKNRQBB,0.05
NRNKBQRB,0.05
QRNKBNRB,0.05
RBBNKRNQ,0.05
RBKQBNRN,0.05
RBNQKNBR,0.05
RKBBRQNN,0.05
RKRQBBNN,0.05
RQNKBRNB,0.05
BBNRQNKR,0.06
BRKNQRNB,0.06
BRNBKNRQ,0.06
BRQNKRNB,0.06
QRBKNNRB,0.06
RKBNQBNR,0.06
RKNQRNBB,0.06
RKQBNNBR,0.06
RKRNQBBN,0.06
RNBKQBNR,0.06
RNKNBQRB,0.06
BBNRNKQR,0.07
BBNRQKRN,0.07
BQNRKBNR,0.07
BQNRKRNB,0.07
BRNKNQRB,0.07
NBQRBKRN,0.07
NBQRKNBR,0.07
NRBNQKRB,0.07
NRKQBBNR,0.07
QNRNKBBR,0.07
RBKNBQNR,0.07
RBKQBRNN,0.07
RBNKNRBQ,0.07
RKBBQNRN,0.07
RKBNQBRN,0.07
RKNBBNRQ,0.07
RKNBBQRN,0.07
RKNNBRQB,0.07
RKQBBNRN,0.07
RKQBBRNN,0.07
RKQBNRBN,0.07
RNBKNBQR,0.07
RNBQKRNB,0.07
RNQKBBRN,0.07
RNQKBRNB,0.07
RNQKNRBB,0.07
RNQNBKRB,0.07
RQNKRNBB,0.07
RQNNBBKR,0.07
BBNQRKRN,0.08
BBRKNQRN,0.08
BBRNKRQN,0.08
BNQNRKRB,0.08
BNRBKQNR,0.08
BNRBNQKR,0.08
BNRKQRNB,0.08
BQRNKBNR,0.08
BQRNKRNB,0.08
BRKBQNRN,0.08
BRKBRQNN,0.08
BRKNNBQR,0.08
BRKNQBRN,0.08
BRNBKQRN,0.08
BRNBQNKR,0.08
BRNQKBNR,0.08
BRQBKNNR,0.08
NNBBRQKR,0.08
NNBQRBKR,0.08
NNQRBKRB,0.08
NNRBBKQR,0.08
NNRQKRBB,0.08
NRBBKRNQ,0.08
NRKQRNBB,0.08
NRKRBQNB,0.08
QNBBNRKR,0.08
QRBNKBRN,0.08
QRKBRNBN,0.08
RBBKNNQR,0.08
RBBNKNQR,0.08
RBKNRQBN,0.08
RKBBNNRQ,0.08
RKBBQRNN,0.08
RKBBRNQN,0.08
RKBNNBRQ,0.08
RKNBQNBR,0.08
RKNNBQRB,0.08
RKNQBRNB,0.08
RKQNBBRN,0.08
RKQRBBNN,0.08
RNBBNQKR,0.08
RNBBQNKR,0.08
RNKBBNQR,0.08
RNKQRNBB,0.08
RNQKBNRB,0.08
RQKBBNNR,0.08
RQKNBRNB,0.08
BBRKRQNN,0.09
BRKQNBRN,0.09
BRQKNRNB,0.09
BRQNKNRB,0.09
NBBQRKNR,0.09
NNBBRKQR,0.09
NNRQKBBR,0.09
NQBRKRNB,0.09
NRKRNQBB,0.09
NRNBKRBQ,0.09
QNBRNKRB,0.09
QNRKBBRN,0.09
QRBNKRNB,0.09
QRNKNBBR,0.09
RBBNKNRQ,0.09
RBKNBQRN,0.09
RBNKQRBN,0.09
RBNKRQBN,0.09
RKBNNQRB,0.09
RKQBRNBN,0.09
RKRNBQNB,0.09
RKRQNBBN,0.09
RNKBBQNR,0.09
RNKBBQRN,0.09
RNKBBRQN,0.09
BNRBQNKR,0.10
BQRKNRNB,0.10
BRKQNNRB,0.10
BRKRNQNB,0.10
BRNKQBNR,0.10
BRNKRBQN,0.10
BRNNKBQR,0.10
BRQKNNRB,0.10
NBNRBKQR,0.10
NBQRBKNR,0.10
NBRNBQKR,0.10
NQBBRKRN,0.10
NQRKNBBR,0.10
NQRKRNBB,0.10
NRBBQKNR,0.10
NRBKQRNB,0.10
NRKNBBRQ,0.10
NRKRQNBB,0.10
NRNQBKRB,0.10
NRQKBBRN,0.10
QBRKBNRN,0.10
QNRBBKNR,0.10
QRBNNKRB,0.10
RBBNKRQN,0.10
RBBNNKQR,0.10
RBBQKNNR,0.10
RBKNBRQN,0.10
RBKNNRBQ,0.10
RBNKBQRN,0.10
RKBNQNRB,0.10
RKBNRBNQ,0.10
RKBRQNNB,0.10
RKNQBBNR,0.10
RKNRQNBB,0.10
RKQNBBNR,0.10
RKQRBNNB,0.10
RNBBQKRN,0.10
RQBBKNNR,0.10
RQBNKNRB,0.10
RQNBKNBR,0.10
BBRQNKNR,0.11
BRKNQNRB,0.11
BRKNRBNQ,0.11
BRNBNQKR,0.11
NBBRKQRN,0.11
NQNBRKBR,0.11
NQNRBKRB,0.11
NQRKBBNR,0.11
NRBBKNRQ,0.11
NRKBBRQN,0.11
QBBRNKRN,0.11
QBRKNRBN,0.11
QBRKRNBN,0.11
QRBBNKRN,0.11
QRNBBKRN,0.11
RBNKBRNQ,0.11
RKBNRNQB,0.11
RKBQNBRN,0.11
RKNBBRNQ,0.11
RKNNQRBB,0.11
RKNQNRBB,0.11
RNBKQRNB,0.11
RNKNRBBQ,0.11
RNKRQNBB,0.11
RNNKBRQB,0.11
RNQNBBKR,0.11
RQKNNBBR,0.11
BBNRKNQR,0.12
BBQRNKRN,0.12
BBRKNNRQ,0.12
BNNQRBKR,0.12
BNNQRKRB,0.12
BNRKNRQB,0.12
BNRKRBQN,0.12
BNRQKRNB,0.12
BQNRNBKR,0.12
BRKBNNRQ,0.12
BRKBQNNR,0.12
BRKNQBNR,0.12
BRNBQKNR,0.12
BRNKNRQB,0.12
BRNNKQRB,0.12
NBBRNKRQ,0.12
NBRKRNBQ,0.12
NNBRKRQB,0.12
NNBRQBKR,0.12
NNQBRKBR,0.12
NQRKRBBN,0.12
NRBNKQRB,0.12
NRBQNBKR,0.12
NRKNQBBR,0.12
NRKNQRBB,0.12
NRQBBKNR,0.12
QBRNBKRN,0.12
QNNRKBBR,0.12
QNRKBBNR,0.12
QRBKNRNB,0.12
QRNKRBBN,0.12
QRNNBKRB,0.12
RBBKNRNQ,0.12
RBBKQNNR,0.12
RBBKRNQN,0.12
RBBNKQNR,0.12
RBKNBRNQ,0.12
RBKRBQNN,0.12
RBQKNNBR,0.12
RKNNQBBR,0.12
RKNQBBRN,0.12
RKQNNRBB,0.12
RKRNQNBB,0.12
RNBBKRNQ,0.12
RNKQBBRN,0.12
RNKQBNRB,0.12
RNKRNBBQ,0.12
RNNBBKQR,0.12
RQBBKRNN,0.12
RQBKNBRN,0.12
RQNKBBNR,0.12
BBNQRNKR,0.13
BQRKNBRN,0.13
BRKNNRQB,0.13
NBBQRNKR,0.13
NBNRKQBR,0.13
NBRKBRNQ,0.13
NBRNQKBR,0.13
NQBRNKRB,0.13
NQRBBNKR,0.13
NQRBKNBR,0.13
NQRNBBKR,0.13
NRKBBQRN,0.13
NRKBBRNQ,0.13
NRKNBQRB,0.13
NRQBBKRN,0.13
RBBNQKNR,0.13
RBKQNNBR,0.13
RBNKBNQR,0.13
RBNKRNBQ,0.13
RKBBNNQR,0.13
RKBBNRNQ,0.13
RKBRNNQB,0.13
RKNBBNQR,0.13
RKNBRNBQ,0.13
RKRNNQBB,0.13
RNBQNBKR,0.13
RNBQNKRB,0.13
RQBKNRNB,0.13
RQBNKBNR,0.13
RQNBBKNR,0.13
RQNBBNKR,0.13
BNRBQKNR,0.14
BQRBKNRN,0.14
BRKQRNNB,0.14
BRKRQBNN,0.14
BRNBQKRN,0.14
NBBNQRKR,0.14
NBNRQKBR,0.14
NNRBBKRQ,0.14
NNRKBBQR,0.14
NNRKQBBR,0.14
NNRKRQBB,0.14
NQNBBRKR,0.14
NRKBRNBQ,0.14
NRNBBQKR,0.14
NRNQBBKR,0.14
NRNQKRBB,0.14
NRQBKNBR,0.14
QBNRBKNR,0.14
QNRNBKRB,0.14
QRNNKRBB,0.14
RBBNNQKR,0.14
RBKQBNNR,0.14
RBKQNRBN,0.14
RBKRBNNQ,0.14
RBQKNRBN,0.14
RKQNBRNB,0.14
RNBNKBQR,0.14
RNBNKQRB,0.14
RNKBBRNQ,0.14
RNKNRQBB,0.14
RNKQNRBB,0.14
BBNRQKNR,0.15
BBRKNRNQ,0.15
BBRQKNRN,0.15
BNNBRKQR,0.15
BNQRNKRB,0.15
BNRKRNQB,0.15
BNRNKBQR,0.15
BNRNKRQB,0.15
BNRNQBKR,0.15
BQNBRNKR,0.15
BQNRKBRN,0.15
BQRKRBNN,0.15
BRKBNRQN,0.15
BRKRNBNQ,0.15
BRNBNKQR,0.15
BRNKQRNB,0.15
BRNNQBKR,0.15
BRNQNBKR,0.15
BRQKRNNB,0.15
NBBRKRNQ,0.15
NNRQBBKR,0.15
NQRBNKBR,0.15
NRBBQKRN,0.15
NRBQKBNR,0.15
NRKBNQBR,0.15
NRKBNRBQ,0.15
NRKBRQBN,0.15
NRKQNRBB,0.15
NRNKBRQB,0.15
NRNQKBBR,0.15
NRQBNKBR,0.15
NRQKBBNR,0.15
NRQNBKRB,0.15
NRQNKRBB,0.15
QBBNRKNR,0.15
QNBNRKRB,0.15
QNRBBNKR,0.15
QNRKNRBB,0.15
QRBKNBNR,0.15
QRBNKBNR,0.15
RBBKQRNN,0.15
RBNQBKNR,0.15
RBNQNKBR,0.15
RBQNBKRN,0.15
RKBNRQNB,0.15
RKNQBNRB,0.15
RKQBBNNR,0.15
RKQNNBBR,0.15
RKRNBBNQ,0.15
RNBBKQRN,0.15
RNBKRBQN,0.15
RNBKRNQB,0.15
RNKBRQBN,0.15
RNKNBBRQ,0.15
RNKQBBNR,0.15
RNKRBBQN,0.15
RQKNBBNR,0.15
BBQRNKNR,0.16
BBRKNQNR,0.16
BBRNKRNQ,0.16
BNQBRKNR,0.16
BNQBRKRN,0.16
BNRBKRNQ,0.16
BNRNKBRQ,0.16
BRNNQKRB,0.16
NBBRKNQR,0.16
NBQRNKBR,0.16
NBRQBKNR,0.16
NQRBBKRN,0.16
NQRKNRBB,0.16
NRBKNQRB,0.16
NRKNBRQB,0.16
NRKQBBRN,0.16
NRKRBBNQ,0.16
NRNBBKQR,0.16
QBNRKRBN,0.16
QNBBRKRN,0.16
RKBBNRQN,0.16
RKBNNBQR,0.16
RNKBBNRQ,0.16
RNKNBRQB,0.16
RNQKRNBB,0.16
BBQNRKRN,0.17
BBRNKNRQ,0.17
BBRNKQNR,0.17
BBRNNKRQ,0.17
BNRQKBNR,0.17
BQRKNNRB,0.17
BRKNNBRQ,0.17
BRNBKQNR,0.17
BRNKNBRQ,0.17
BRQKNBNR,0.17
BRQNKBNR,0.17
NBBNRKRQ,0.17
NBRNBKRQ,0.17
NNBQRKRB,0.17
NNQRKRBB,0.17
NQBRKBNR,0.17
NRBKNBQR,0.17
NRBKQNRB,0.17
NRBKRBQN,0.17
NRNKBBRQ,0.17
NRQKBNRB,0.17
QBNNRKBR,0.17
QNBRKBNR,0.17
QNNBBRKR,0.17
QNRBKNBR,0.17
QNRKBRNB,0.17
QNRKRBBN,0.17
QNRNBBKR,0.17
QRKBNNBR,0.17
QRNKBBNR,0.17
QRNKBBRN,0.17
RBBKNRQN,0.17
RBQNNKBR,0.17
RKBQNBNR,0.17
RKNQNBBR,0.17
RKQNBNRB,0.17
RQKRBNNB,0.17
RQNKNRBB,0.17
BBNRKRQN,0.18
BBQRKNRN,0.18
BBRKQNNR,0.18
BBRKQRNN,0.18
BBRQNNKR,0.18
BNQBRNKR,0.18
BNQRKBNR,0.18
BNRBKNRQ,0.18
BNRKQNRB,0.18
BNRKRQNB,0.18
BQRBKRNN,0.18
BQRKNBNR,0.18
BRKRNNQB,0.18
BRNBKRQN,0.18
BRNQNKRB,0.18
NBBQNRKR,0.18
NBQNRKBR,0.18
NNRBBQKR,0.18
NQBBRKNR,0.18
NQRKBRNB,0.18
QBBRNKNR,0.18
QNNRBBKR,0.18
QNRBNKBR,0.18
QRBBNKNR,0.18
QRKNBNRB,0.18
QRNNKBBR,0.18
RBBKNQNR,0.18
RBBKRNNQ,0.18
RBBNQNKR,0.18
RBKNBNQR,0.18
RBKRQNBN,0.18
RBNNQKBR,0.18
RKNQRBBN,0.18
RKNRQBBN,0.18
RKQNRBBN,0.18
RKRQBNNB,0.18
RNBBKRQN,0.18
RNBNQBKR,0.18
RQBNKBRN,0.18
RQKNNRBB,0.18
RQNBNKBR,0.18
RQNNKBBR,0.18
BBQNRNKR,0.19
BNQBNRKR,0.19
BNQRKNRB,0.19
