RQNBKNBR:23,f2f3;21,a2a4;20,e2e4;17,c2c3;15,d2d4;9,h2h3;8,h2h4;0,f1g3;-4,e2e3;-4,c1b3;-14,a2a3;-21,b2b4;-24,d2d3;-26,c2c4;-30,f1e3;-31,b2b3;-33,c1d3;-54,f2f4;-57,g2g3;-63,g2g4;
RBBQKNNR:25,c2c4;25,d2d4;24,g1f3;10,c2c3;10,e2e4;9,f1g3;9,f1e3;1,a2a3;-2,a2a4;-18,d2d3;-19,h2h4;-19,h2h3;-21,g2g3;-24,b2b3;-33,b2b4;-34,e2e3;-40,f2f4;-47,f2f3;-93,g1h3;-123,g2g4;
RNBQKBNR:28,d2d4;27,g1f3;27,e2e4;23,c2c4;18,g2g3;10,e2e3;0,c2c3;0,b1c3;0,b2b3;-7,h2h3;-8,a2a3;-12,d2d3;-22,a2a4;-26,b2b4;-32,f2f4;-44,h2h4;-61,g1h3;-68,b1a3;-84,f2f3;-118,g2g4;
RBBNKNQR:29,d2d4;27,c2c3;25,e2e4;19,f2f4;19,g2g3;18,a2a4;7,f1g3;7,f2f3;0,f1e3;0,c2c4;-10,a2a3;-10,h2h4;-12,d2d3;-20,e2e3;-24,h2h3;-24,d1c3;-26,b2b3;-33,d1e3;-38,g2g4;-38,b2b4;
RBNQKNBR:30,d2d4;27,e2e4;26,c2c3;23,f2f3;18,h2h4;12,a2a4;1,h2h3;-5,a2a3;-16,f1g3;-17,c1d3;-18,e2e3;-18,c1b3;-19,f1e3;-22,c2c4;-29,d2d3;-35,f2f4;-38,g2g3;-39,b2b4;-47,g2g4;-53,b2b3;
RQBNKBNR:30,e2e4;25,g1f3;25,c2c4;23,g2g3;22,d2d4;14,c2c3;13,e2e3;11,f2f4;3,b2b3;1,a2a3;-8,b2b4;-13,d2d3;-22,a2a4;-23,d1e3;-27,h2h3;-38,d1c3;-45,h2h4;-56,f2f3;-66,g1h3;-124,g2g4;
RBNNKQBR:31,e2e4;26,f2f4;23,c2c3;16,c1d3;15,f2f3;15,d2d4;6,h2h4;3,a2a4;0,d1e3;-20,c1b3;-20,a2a3;-21,h2h3;-30,d1c3;-36,c2c4;-40,b2b3;-44,g2g3;-54,e2e3;-56,d2d3;-58,b2b4;-76,g2g4;
RQNNKBBR:31,d2d4;29,e2e4;25,c2c3;8,a2a4;8,h2h3;6,f2f3;6,h2h4;-2,e2e3;-5,c2c4;-15,b2b4;-18,a2a3;-25,c1d3;-26,d1c3;-29,f2f4;-29,b2b3;-36,g2g3;-37,c1b3;-43,d2d3;-67,d1e3;-97,g2g4;
RNNQKBBR:32,e2e4;29,b1c3;28,d2d4;17,f2f3;15,f2f4;-1,c1b3;-5,h2h4;-8,e2e3;-15,a2a3;-17,h2h3;-19,c1d3;-22,a2a4;-34,c2c3;-41,g2g3;-55,b2b3;-58,c2c4;-59,d2d3;-81,b1a3;-82,b2b4;-87,g2g4;
RNQBKNBR:33,d2d4;26,f2f4;18,b1c3;18,c2c3;17,d2d3;16,e2e4;15,f2f3;12,h2h4;12,c2c4;7,e2e3;1,f1g3;-8,f1e3;-18,a2a3;-18,h2h3;-22,b1a3;-23,a2a4;-44,b2b4;-71,b2b3;-75,g2g3;-106,g2g4;
RQBBKNNR:35,e2e4;22,c2c3;21,g1f3;20,f1g3;19,d2d4;19,b2b4;12,f1e3;11,c2c4;10,b2b3;0,e2e3;-3,f2f4;-13,a2a4;-16,d2d3;-19,h2h4;-19,a2a3;-20,h2h3;-38,g2g3;-64,f2f3;-75,g1h3;-80,g2g4;
RBBNKQNR:41,e2e4;27,c2c4;27,d2d4;23,f2f4;19,g1f3;12,c2c3;3,b2b3;-2,d2d3;-3,e2e3;-9,a2a4;-16,a2a3;-18,g2g3;-27,b2b4;-33,h2h3;-41,f2f3;-41,h2h4;-42,d1c3;-60,d1e3;-68,g1h3;-85,g2g4;
RNQNKBBR:41,d2d4;33,c2c4;20,f2f4;19,b1c3;18,e2e4;15,e2e3;8,f2f3;1,h2h4;1,c2c3;-2,h2h3;-7,a2a3;-20,d1c3;-22,d2d3;-30,g2g3;-37,d1e3;-39,b1a3;-55,a2a4;-56,b2b4;-64,b2b3;-111,g2g4;
