RQNBKNBR (f2f3): -14,c7c6;-18,e7e5;-18,f7f6;-23,h7h6;-24,a7a5;-27,d7d5;-34,h7h5;-41,f8e6;-49,c8b6;-50,e7e6;-51,a7a6;-52,f8g6;-53,b7b6;-53,c8d6;-57,d7d6;-57,b7b5;-67,f7f5;-73,g7g5;-79,g7g6;-142,c7c5;
RQNBKNBR (a2a4): -4,c7c6;-4,a7a5;-5,e7e5;-7,h7h6;-7,f7f6;-12,d7d5;-16,h7h5;-23,f8g6;-24,e7e6;-39,d7d6;-43,b7b6;-45,f8e6;-47,a7a6;-50,c7c5;-57,c8d6;-63,b7b5;-63,f7f5;-75,c8b6;-83,g7g6;-91,g7g5;
RQNBKNBR (e2e4): -11,e7e5;-11,c7c6;-29,f7f6;-31,h7h6;-33,h7h5;-42,a7a5;-43,c8b6;-46,e7e6;-52,f8g6;-53,b7b5;-54,a7a6;-59,f8e6;-61,c7c5;-62,c8d6;-74,b7b6;-75,d7d6;-82,g7g6;-118,d7d5;-123,g7g5;-124,f7f5;
RBBQKNNR (c2c4): -25,g8f6;-26,c7c6;-31,c7c5;-38,d7d6;-40,e7e5;-45,f8g6;-48,d7d5;-57,a7a5;-66,a7a6;-73,b7b5;-76,h7h6;-77,h7h5;-84,g7g6;-85,e7e6;-97,f8e6;-98,f7f6;-103,g8h6;-110,b7b6;-157,g7g5;-170,f7f5;
RBBQKNNR (d2d4): -22,d7d5;-26,g8f6;-53,c7c6;-58,c7c5;-61,d7d6;-64,a7a5;-77,f8g6;-80,a7a6;-82,h7h6;-86,e7e5;-93,e7e6;-101,h7h5;-112,f7f6;-115,g7g6;-117,b7b5;-123,f7f5;-123,b7b6;-126,f8e6;-142,g8h6;-203,g7g5;
RBBQKNNR (g1f3): -18,d7d5;-21,c7c6;-24,a7a5;-27,c7c5;-32,g8f6;-38,a7a6;-43,d7d6;-46,f8e6;-46,f8g6;-48,h7h6;-76,g7g6;-82,e7e6;-83,h7h5;-88,f7f5;-98,b7b5;-103,e7e5;-103,f7f6;-114,b7b6;-124,g8h6;-132,g7g5;
RNBQKBNR (d2d4): -21,g8f6;-30,d7d5;-32,e7e6;-45,c7c6;-53,a7a6;-56,d7d6;-61,g7g6;-63,f7f5;-67,c7c5;-72,h7h6;-79,b8c6;-86,a7a5;-90,b7b6;-98,b8a6;-98,b7b5;-103,h7h5;-120,g8h6;-138,f7f6;-139,e7e5;-204,g7g5;
RNBQKBNR (e2e4): -30,c7c5;-32,e7e5;-41,e7e6;-41,c7c6;-50,b8c6;-56,d7d6;-59,g7g6;-64,a7a6;-71,d7d5;-71,g8f6;-72,h7h6;-92,b7b6;-100,a7a5;-113,b8a6;-114,h7h5;-116,g8h6;-145,f7f6;-156,f7f5;-160,b7b5;-166,g7g5;
RNBQKBNR (g1f3): -22,g8f6;-30,e7e6;-31,c7c6;-32,d7d5;-42,c7c5;-46,a7a6;-54,b8c6;-54,g7g6;-58,f7f5;-59,d7d6;-65,b7b6;-71,h7h6;-79,a7a5;-81,b7b5;-90,h7h5;-103,b8a6;-113,g8h6;-127,f7f6;-136,e7e5;-143,g7g5;
RBBNKNQR (d2d4): -22,d7d5;-23,c7c6;-29,f7f5;-40,a7a5;-42,g7g6;-50,f7f6;-60,h7h5;-61,a7a6;-71,e7e6;-73,b7b6;-82,d7d6;-90,f8g6;-96,g7g5;-97,b7b5;-97,c7c5;-101,h7h6;-119,d8e6;-123,f8e6;-123,d8c6;-169,e7e5;
RBBNKNQR (c2c3): -20,d7d5;-21,c7c6;-26,f7f6;-38,a7a5;-51,e7e6;-56,h7h5;-58,g7g6;-69,a7a6;-73,c7c5;-75,f8g6;-76,b7b6;-79,g7g5;-81,e7e5;-81,f8e6;-82,d7d6;-87,d8c6;-87,b7b5;-100,d8e6;-105,h7h6;-116,f7f5;
RBBNKNQR (e2e4): -24,d7d5;-28,c7c6;-31,f8g6;-31,e7e5;-37,f7f6;-39,c7c5;-39,f8e6;-47,g7g6;-51,e7e6;-55,a7a5;-55,h7h5;-57,b7b6;-58,f7f5;-62,a7a6;-72,d7d6;-73,g7g5;-99,d8e6;-100,b7b5;-100,d8c6;-104,h7h6;
RBNQKNBR (d2d4): -21,f7f6;-21,c7c6;-25,d7d5;-30,a7a5;-34,h7h5;-47,c7c5;-48,c8b6;-51,a7a6;-61,f8e6;-61,c8d6;-64,e7e6;-64,h7h6;-75,f8g6;-78,d7d6;-80,g7g6;-83,e7e5;-85,f7f5;-92,g7g5;-103,b7b5;-109,b7b6;
RBNQKNBR (e2e4): -18,c7c6;-21,e7e5;-26,f7f6;-46,h7h5;-48,a7a5;-57,c8d6;-63,e7e6;-63,c7c5;-64,f8g6;-66,f8e6;-66,a7a6;-69,c8b6;-73,d7d5;-76,h7h6;-76,d7d6;-77,g7g6;-97,b7b5;-100,f7f5;-107,g7g5;-138,b7b6;
RBNQKNBR (c2c3): -20,c7c6;-21,e7e5;-25,f7f6;-31,d7d5;-32,h7h5;-36,a7a5;-41,c8b6;-52,a7a6;-58,c8d6;-59,f8e6;-59,h7h6;-60,e7e6;-64,c7c5;-73,f8g6;-75,g7g6;-75,d7d6;-87,b7b5;-101,b7b6;-101,g7g5;-124,f7f5;
