BlackMove1
a2a3 RNBQKBNR:21,g8f6;21,g7g6;18,c7c5;16,e7e5;9,d7d5;8,e7e6;3,c7c6;-13,a7a6;-15,d7d6;-25,b8c6;-30,h7h6;-31,f7f5;-40,b7b5;-43,b7b6;-43,h7h5;-64,a7a5;-66,g8h6;-71,b8a6;-107,f7f6;-151,g7g5;
a2a4 RNBQKBNR:32,g8f6;27,e7e5;21,d7d5;17,e7e6;13,c7c5;7,b8c6;5,c7c6;2,b7b6;0,a7a6;-6,h7h6;-10,d7d6;-12,g7g6;-24,f7f5;-44,a7a5;-47,b8a6;-55,h7h5;-68,g8h6;-72,f7f6;-115,b7b5;-116,g7g5;
b1a3 RNBQKBNR:60,e7e5;28,b8c6;27,d7d5;25,g8f6;19,e7e6;17,d7d6;16,b7b6;4,h7h6;4,a7a6;0,c7c5;0,c7c6;-2,f7f5;-5,a7a5;-15,g7g6;-24,h7h5;-29,b8a6;-39,g8h6;-40,f7f6;-90,b7b5;-126,g7g5;
b1c3 RNBQKBNR:22,d7d5;9,g8f6;-8,b8c6;-8,c7c5;-13,e7e5;-25,c7c6;-27,e7e6;-35,g7g6;-35,a7a6;-41,f7f5;-45,d7d6;-45,h7h6;-60,b7b6;-63,h7h5;-82,a7a5;-88,b7b5;-115,b8a6;-120,g8h6;-128,f7f6;-179,g7g5;
b2b3 RNBQKBNR:8,e7e5;1,d7d5;-3,g8f6;-7,d7d6;-8,b8c6;-10,c7c6;-11,c7c5;-11,g7g6;-13,e7e6;-18,a7a5;-20,a7a6;-23,b7b6;-24,h7h5;-28,h7h6;-30,g8h6;-31,b7b5;-40,f7f5;-65,b8a6;-68,f7f6;-85,g7g5;
b2b4 RNBQKBNR:26,e7e5;13,g8f6;12,e7e6;10,d7d5;4,c7c6;2,d7d6;-4,g7g6;-8,h7h6;-13,b7b6;-16,a7a6;-16,a7a5;-23,h7h5;-28,b8c6;-30,b7b5;-31,b8a6;-35,g8h6;-37,c7c5;-38,f7f5;-41,f7f6;-59,g7g5;
c2c3 RNBQKBNR:7,e7e5;6,g8f6;4,d7d5;2,e7e6;-3,c7c6;-9,b7b6;-14,b8c6;-16,c7c5;-20,d7d6;-24,g7g6;-25,f7f5;-28,a7a6;-29,h7h6;-41,a7a5;-44,h7h5;-46,b7b5;-76,g8h6;-81,f7f6;-81,b8a6;-110,g7g5;
c2c4 RNBQKBNR:-15,e7e5;-20,e7e6;-23,g8f6;-24,d7d6;-25,c7c5;-25,c7c6;-25,g7g6;-32,b7b6;-39,h7h6;-42,a7a6;-45,b8c6;-49,f7f5;-53,d7d5;-64,a7a5;-67,f7f6;-84,b8a6;-89,b7b5;-95,h7h5;-111,g8h6;-143,g7g5;
d2d3 RNBQKBNR:18,d7d5;17,g8f6;12,e7e6;11,c7c5;4,e7e5;2,b8c6;0,g7g6;-6,d7d6;-10,a7a6;-15,h7h6;-17,c7c6;-18,b7b6;-25,a7a5;-29,f7f5;-31,h7h5;-32,b7b5;-39,b8a6;-54,g8h6;-57,f7f6;-179,g7g5;
d2d4 RNBQKBNR:-22,d7d5;-26,g8f6;-35,c7c6;-35,e7e6;-50,g7g6;-51,a7a6;-57,f7f5;-62,d7d6;-71,c7c5;-71,b8c6;-72,h7h6;-84,b7b6;-92,a7a5;-100,b8a6;-105,b7b5;-113,h7h5;-122,g8h6;-144,e7e5;-146,f7f6;-220,g7g5;
e2e3 RNBQKBNR:1,g8f6;-3,d7d5;-10,g7g6;-11,c7c5;-12,e7e6;-15,e7e5;-15,a7a6;-15,c7c6;-18,h7h6;-22,b7b6;-23,d7d6;-31,a7a5;-34,b8c6;-36,f7f5;-53,b8a6;-56,g8h6;-69,h7h5;-72,f7f6;-117,g7g5;-157,b7b5;
e2e4 RNBQKBNR:-27,e7e5;-30,c7c5;-34,c7c6;-38,e7e6;-39,d7d6;-39,b8c6;-50,a7a6;-52,g7g6;-56,g8f6;-65,d7d5;-66,h7h6;-80,a7a5;-81,b7b6;-101,b8a6;-108,g8h6;-116,h7h5;-135,f7f6;-160,b7b5;-173,f7f5;-190,g7g5;
f2f3 RNBQKBNR:79,e7e5;55,g8f6;54,d7d5;45,e7e6;38,b8c6;32,c7c5;14,h7h6;9,a7a6;1,g7g6;-9,d7d6;-19,b7b6;-27,h7h5;-31,c7c6;-31,f7f5;-32,g8h6;-34,b8a6;-44,a7a5;-45,b7b5;-51,f7f6;-101,g7g5;
f2f4 RNBQKBNR:30,d7d5;26,g8f6;18,g7g6;17,e7e6;16,c7c5;7,g8h6;0,b7b6;-1,c7c6;-6,b8c6;-11,d7d6;-16,a7a6;-16,h7h6;-23,f7f5;-24,a7a5;-27,b7b5;-34,h7h5;-49,e7e5;-59,b8a6;-69,f7f6;-75,g7g5;
g1f3 RNBQKBNR:-12,d7d5;-20,e7e6;-20,g8f6;-21,c7c6;-24,c7c5;-46,g7g6;-52,h7h6;-53,a7a6;-53,f7f5;-54,b8c6;-54,d7d6;-55,b7b6;-60,b7b5;-83,a7a5;-90,b8a6;-99,h7h5;-114,g8h6;-133,f7f6;-143,e7e5;-160,g7g5;
g1h3 RNBQKBNR:59,e7e5;51,d7d5;46,g8f6;43,c7c5;41,b8c6;30,c7c6;19,e7e6;18,g7g6;18,a7a5;17,h7h6;10,d7d6;7,a7a6;-4,b7b6;-11,h7h5;-22,b8a6;-26,g8h6;-44,f7f5;-47,b7b5;-91,f7f6;-148,g7g5;
g2g3 RNBQKBNR:-14,c7c5;-14,g8f6;-15,g7g6;-15,e7e6;-15,e7e5;-16,d7d5;-20,c7c6;-28,d7d6;-30,a7a5;-35,b8c6;-36,h7h5;-37,h7h6;-40,a7a6;-47,b7b5;-47,f7f5;-50,b8a6;-51,b7b6;-60,g8h6;-80,f7f6;-110,g7g5;
g2g4 RNBQKBNR:133,d7d5;86,b8c6;85,e7e5;80,c7c5;70,d7d6;54,a7a6;49,h7h5;46,e7e6;43,h7h6;38,g7g6;38,c7c6;36,a7a5;24,b8a6;20,b7b5;16,f7f6;7,b7b6;-4,g8f6;-36,g8h6;-39,g7g5;-70,f7f5;
h2h3 RNBQKBNR:20,e7e5;10,d7d5;9,g8f6;-3,c7c5;-4,e7e6;-8,c7c6;-15,a7a6;-16,b8c6;-22,b7b6;-22,g7g6;-26,f7f5;-27,b7b5;-29,d7d6;-34,h7h6;-39,a7a5;-67,h7h5;-73,g8h6;-74,b8a6;-96,f7f6;-139,g7g5;
h2h4 RNBQKBNR:50,e7e5;37,d7d5;34,c7c5;34,g8f6;34,e7e6;14,b8c6;8,a7a6;4,c7c6;-2,d7d6;-6,h7h6;-8,a7a5;-23,g7g6;-27,b7b5;-36,f7f5;-40,b7b6;-44,h7h5;-62,g8h6;-68,b8a6;-81,f7f6;-212,g7g5;
